source_img,file_name,text
10.jpeg,10_0.jpeg,Ревизская сказка
10.jpeg,10_1.jpeg,10й Народной  переписи Тысяча восемьсотъ пятьдесятъ
10.jpeg,10_2.jpeg,Восьмого года февраля двадцать восьмого дня Вятской
10.jpeg,10_3.jpeg,Губернiи Орловского уезда Тихтинской волости  Петере
10.jpeg,10_4.jpeg,вского Сельского Общества
10.jpeg,10_5.jpeg,Копiя
106.jpeg,106_0.jpeg,Ревизская сказка
106.jpeg,106_1.jpeg,Ревизская сказка
106.jpeg,106_2.jpeg,1867 года января 20 дня Пермской
106.jpeg,106_3.jpeg,1868 года января 20 дня Пермской
106.jpeg,106_4.jpeg,губернии города Екатеринбурга
106.jpeg,106_5.jpeg,губернии города Екатеринбурга
106.jpeg,106_6.jpeg,по последней
106.jpeg,106_7.jpeg,ныне
106.jpeg,106_8.jpeg,Во времен
106.jpeg,106_9.jpeg,ныне
106.jpeg,106_10.jpeg,Семьи Мужскiй пол
106.jpeg,106_11.jpeg,на
106.jpeg,106_12.jpeg,Семьи
106.jpeg,106_13.jpeg,ной от
106.jpeg,106_14.jpeg,Женский пол
106.jpeg,106_15.jpeg,на
106.jpeg,106_16.jpeg,лицо
106.jpeg,106_17.jpeg,лучке
106.jpeg,106_18.jpeg,лицо
106.jpeg,106_19.jpeg,мещане
106.jpeg,106_20.jpeg,Лета
106.jpeg,106_21.jpeg,ревизiи
106.jpeg,106_22.jpeg,мещанки
106.jpeg,106_23.jpeg,времени
106.jpeg,106_24.jpeg,Причисленъ по
106.jpeg,106_25.jpeg,предписанiю
106.jpeg,106_26.jpeg,Анна Иванова Соко
106.jpeg,106_27.jpeg,Пермской Ка
106.jpeg,106_28.jpeg,лова
106.jpeg,106_29.jpeg,еной Палаты
106.jpeg,106_30.jpeg,его дочь
106.jpeg,106_31.jpeg,отъ
106.jpeg,106_32.jpeg,Феокриста Евстафьева
106.jpeg,106_33.jpeg,Всего въ сей ревизской сказке выключается наличныхъ душ мужеска пола
11.jpeg,11_0.jpeg,Ревизская сказка
11.jpeg,11_1.jpeg,1858 года февраля 28 дня Вятской губернiи Орловского
11.jpeg,11_2.jpeg,уезда Тихтинской волости Патеренского Сельского общества
11.jpeg,11_3.jpeg,По после
11.jpeg,11_4.jpeg,Семьи
11.jpeg,11_5.jpeg,Мужскiй  полъ
11.jpeg,11_6.jpeg,дней реви
11.jpeg,11_7.jpeg,Изъ того Ныне
