source_img,file_name,text,sample
16.jpeg,16_2.jpeg,Пермской Губернии Екатеринбургско,train
45.jpeg,45_8.jpeg,№ Мещанки,train
53.jpeg,53_19.jpeg,выбыло,train
67.jpeg,67_54.jpeg,2,train
5.jpeg,5_6.jpeg,Верхне-Тагильского завода,train
106.jpeg,106_12.jpeg,Семьи,train
25.jpeg,25_7.jpeg,Женскiй полъ,train
27.jpeg,27_2.jpeg,губернiи Красноуфимского уезда,train
57.jpeg,57_51.jpeg,и женского  одна прописных нетъ къ сей ревизской сказке по безграмотству,train
79.jpeg,79_33.jpeg,Егоръ Ивановъ,train
61.jpeg,61_16.jpeg,оной прибы выбыло лицо,train
57.jpeg,57_23.jpeg,Съ кото,train
51.jpeg,51_13.jpeg,и после оной при,train
86.jpeg,86_18.jpeg,Именно,train
37.jpeg,37_44.jpeg,ва,train
89.jpeg,89_11.jpeg,Съ которого,train
38.jpeg,38_8.jpeg,во времен ныне,train
36.jpeg,36_4.jpeg,новской волости,train
53.jpeg,53_35.jpeg,Вепровъ,train
79.jpeg,79_23.jpeg,Когда,train
67.jpeg,67_60.jpeg,лебской волости,train
28.jpeg,28_3.jpeg,1858 года марта 31 дня Пермской,train
76.jpeg,76_5.jpeg,Смородинцова о состоящихъ ду,train
51.jpeg,51_7.jpeg,визiи состояло,train
63.jpeg,63_18.jpeg,№10,train
9.jpeg,9_22.jpeg,Семьи,train
15.jpeg,15_5.jpeg,губернiи Екатеринбургского уезда Логинов,train
24.jpeg,24_60.jpeg,16,train
358.jpeg,358_21.jpeg,Съ кото,train
55.jpeg,55_30.jpeg,Иванъ Викулова,train
17.jpeg,17_21.jpeg,но какихъ,train
11.jpeg,11_12.jpeg,выбыло,train
7.jpeg,7_10.jpeg,Изъ того Ны,train
71.jpeg,71_22.jpeg,№9 №10,train
9.jpeg,9_52.jpeg,Фадея сынъ Алексей въ 1858,train
53.jpeg,53_43.jpeg,та 1864 г за,train
5.jpeg,5_26.jpeg,именно,train
87.jpeg,87_38.jpeg,сьевъ Пшеницынъ та 1867 года за,train
17.jpeg,17_62.jpeg,1864,train
31.jpeg,31_35.jpeg,18,train
91.jpeg,91_28.jpeg,Лета,train
74.jpeg,74_0.jpeg,Ревизская Сказка,train
56.jpeg,56_0.jpeg,Ревизская сказка,train
44.jpeg,44_0.jpeg,Ревизская сказка,train
27.jpeg,27_6.jpeg,Мужскiй полъ состояло числа,train
85.jpeg,85_17.jpeg,именно,train
88.jpeg,88_4.jpeg,Во временной Ныне,train
61.jpeg,61_1.jpeg,Дополнительная ревизская сказка,train
47.jpeg,47_27.jpeg,Всего на сей ревизской сказке мужской пока всего три души женской одна душа,train
46.jpeg,46_2.jpeg,ныне принявшего присягу на,train
